no_ticket;title;body;created_on;ticket_status
10029;new purchase po;purchase po dear purchased has inch wide type monitor professional backpack please log allocation kind regards administrator;25/12/2022 16:00;Closed
10030;new starter bucharest;friday hi fill please going forward share please has taken role lead testing discipline teams offer joiners required thank thursday pm hello please fill date administration officer;25/12/2022 16:30;Closed
10031;access cards;cards badge merge floor please help la si;25/12/2022 17:00;Closed
10032;non starter for;re hi please note joining anymore kind regards id image cd tuesday pm re thanks kind regards id image cd tuesday pm re attached discipline lead thursday pm hi please fill thank kind regards id image cd;25/12/2022 17:30;Closed
10033;access to network;dear please thanks officer;25/12/2022 18:00;On-Progress
10034;project codes missing pm;thursday codes pm hello please create call thank best regards analyst wednesday pm codes pm hi please pm thanks accounts receivable lead friday pm re codes pm hi please active code active pm thanks friday pm codes pm importance high hi doing cleanup code level needs clarified code active please pm please cascade information appropriate colleagues feedback by cob highly appreciated name number status date finish date organization active active core active adapt active clients active collaboration active cs automation active validation tool core active active active active self exclusion application active platform active assembly client active more than hosting active underscore active underscore active active gateway active stream active active efficiencies active servicing mastering active thanks accounts receivable lead;25/12/2022 18:30;Closed
10035;notification new pas is now fully functional;re unplanned hello please inform users same mentioned running thank kind regards;25/12/2022 19:00;Closed
10036;notification for outage;hi guys please advise announce rooms damaged thanks friday pm crap eon ore program si va ne interval care va placer la mob cl rom confidentiality notice content communication represents confidential proprietary information please consider environment printing;25/12/2022 19:30;Closed
10037;stolen laptop;sent monday re stolen laptop hi everyone laptop stolen was pro think if we erase remotely linked apple id can be used have alert be notified when laptop comes however if lock data get encrypted even more than currently by burglars be able use please let know what you want locking erasing remotely happen only if devices get thank you sent wrote hi laptop was stolen weekend can you please liaise accordingly confirm what needs be done noted can lock or erase hardware remotely kind regards mobility officer;25/12/2022 20:00;Closed
10038;new purchase po;tuesday november purchase po dear purchased patch cord cat drive capless gen please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator;25/12/2022 20:30;Closed
10039;changes;changes dear kindly ask change myself thanks officer;25/12/2022 21:00;Closed
10040;check timecard for error;tuesday re user thanks pm re user hi added sick leave days which visible card please ensure timecard error thanks pm re user dear problem logging sick leave days absent work days best regards wednesday pm user problem sheet period compliance re va sheet dear problem logging submitting sheets period help resolve please description problem compliance copy mentioned keep tracking absences based by emphasize obliged log same events absences sheets kindly asking submitted requests annual leaves informed about period thank compliance administrator pm user compliance se help points session compliance dear colleagues please find enclosed user questions please let compliance needed organize help points session till further notice please continue informing compliance about absences thank kind regards administrator;25/12/2022 21:30;Closed
10041;lift data roaming cap whilst on;lift roaming cap whilst hello landed working tower until wednesday then fly rest did realise falls tariff therefore increased cap removed receive mails work device while please activate working thanks regards head;25/12/2022 22:00;Closed
10042;oracle issue;sent tuesday december hello can be seen receive hours entered below your scheduled hours when trying submit off days could you please assist thanks kind regards analyst;25/12/2022 22:30;On-Progress
10043;rights to reserve meeting rooms;question regarding rights reserve meeting rooms hi please let how talk receive permission reserve meeting rooms rd floor application consultant ext;25/12/2022 23:00;On-Progress
